"TIMESTAMP", "OPEN", "CLOSE", "HIGH", "LOW", "VOLUME", "QUOTE_VOLUME", "CURRENCY_PAIR"
"1532023200","7415.125777","7464.421246","7563.739999","7405.97099","46.15332721","344365.6285526","BTC-USDT"
"1532044800","7468.623204","7421","7475.819412","7368","35.36740574","263119.18013738","BTC-USDT"
"1532066400","7418.57","7500","7512.38504","7351.662431","37.94829448","281888.66385347","BTC-USDT"
"1532088000","7512.38504","7336.942267","7683","7309.056412","82.73274684","616719.69860485","BTC-USDT"
"1532109600","7327.705903","7340.903638","7385.745097","7276.108628","40.27624066","295404.81009512","BTC-USDT"
"1532131200","7336.652064","7318.373551","7336.652064","7222.772404","27.28395183","198565.76903235","BTC-USDT"
"1532152800","7325.103985","7324.223369","7361.359347","7283.52188","18.76857634","137517.58837982","BTC-USDT"
"1532174400","7321.971794","7409.339829","7446.965429","7308.84261","36.53098571","269704.33598559","BTC-USDT"
"1532196000","7410","7399.466745","7449.99999","7392.8214","12.78296339","94897.28967019","BTC-USDT"
"1532217600","7392.8214","7403.324044","7488.292738","7341.610058","11.43869564","84826.9448566","BTC-USDT"
"1532239200","7414.98685","7456.625986","7469","7371.46367","9.01196857","66956.51688673","BTC-USDT"
"1532260800","7452.730661","7500","7558.391181","7428.7962","25.48838022","191110.5142097","BTC-USDT"
"1532282400","7500","7408.1821","7578.12","7344.138711","28.67553564","213672.22580804","BTC-USDT"
"1532304000","7403.969152","7654.184181","7700","7380.759217","30.29989607","230232.67817305","BTC-USDT"
"1532325600","7657.526519","7689.3788","7797.277063","7650","31.89797504","246174.01326653","BTC-USDT"
"1532347200","7695.609301","7736.121497","7751.82","7671.383669","22.04158566","169996.029081","BTC-USDT"
"1532368800","7743.346551","7712.387556","7820.508955","7661.3592","35.86502265","277934.72881884","BTC-USDT"
"1532390400","7734.230173","7978.88197","8042.771241","7699.630472","83.8937737","657594.43557041","BTC-USDT"
"1532412000","7990.599506","8277","8278.185","7945.4343","56.28637238","454168.40495911","BTC-USDT"
"1532433600","8260.600824","8255.6","8350","8113.857833","130.14245185","1071748.96515657","BTC-USDT"
"1532455200","8255.6","8415.562953","8485","8200.088","30.01015676","248939.15205928","BTC-USDT"
"1532476800","8409.687934","8437.355735","8487.888658","8300","31.58938288","265141.58357152","BTC-USDT"
"1532498400","8428.883291","8187.38588","8437.355736","8139.014615","58.61501617","485355.2474605","BTC-USDT"
"1532520000","8187.385879","8120.410574","8228","8059.06685","52.46608931","427322.57635789","BTC-USDT"
"1532541600","8120.410574","8160.000001","8329.999999","8070.807877","25.27632616","207416.21700724","BTC-USDT"
"1532563200","8182.560574","8196.000001","8260.088307","8176.074489","19.97612338","164294.14864848","BTC-USDT"
"1532584800","8196.000001","8252.052396","8319.179352","8195","18.88507221","156156.08598154","BTC-USDT"
"1532606400","8248.202914","8216.884152","8258.386827","8178.351145","21.80820828","179064.11441088","BTC-USDT"
"1532628000","8224.149064","7915.567995","8305.660395","7835.5668","106.12691769","852113.56473325","BTC-USDT"
"1532649600","7915.907909","7935.551","7957.462206","7853.60317","28.20524891","222778.04041139","BTC-USDT"
"1532671200","7924.299105","7920.471786","8002.157592","7877.443299","29.42657632","233491.51830308","BTC-USDT"
"1532692800","7927.406935","8171.286093","8230","7810","62.19603779","499562.54203174","BTC-USDT"
